PSNR,SSIM,LPIPS,mask_type,parameter_k,image_name
20.07155990600586,0.8201927542686462,0.25947919487953186,chessboard,chessboard_k=5,row_rubber_ducks.png
18.250896453857422,0.3903578221797943,0.40353354811668396,chessboard,chessboard_k=5,pizza_box_pizza.png
16.157482147216797,0.2372444123029709,0.4150044918060303,chessboard,chessboard_k=5,rocky_beach_large.png
24.192264556884766,0.5156809687614441,0.2689395248889923,chessboard,chessboard_k=5,lemon_blue_surface.png
13.89501953125,0.23095452785491943,0.4520472586154938,chessboard,chessboard_k=7,woman_tending_garden.png
17.317121505737305,0.6571988463401794,0.2968173027038574,chessboard,chessboard_k=7,view_mountains_lake.png
17.489906311035156,0.5078579783439636,0.3101925849914551,chessboard,chessboard_k=7,field_red_flowers.png
22.035451889038086,0.6587114930152893,0.22659452259540558,chessboard,chessboard_k=7,bowl_fruit_wooden.png
18.58052635192871,0.5543233752250671,0.3394506871700287,chessboard,chessboard_k=7,blue_pink_toy.png
20.359933853149414,0.702336311340332,0.219237819314003,chessboard,chessboard_k=7,watch_wrist.png
18.918779373168945,0.8135831356048584,0.22533246874809265,chessboard,chessboard_k=7,row_rubber_ducks.png
18.071163177490234,0.388905793428421,0.39957404136657715,chessboard,chessboard_k=7,pizza_box_pizza.png
16.93743324279785,0.2541739046573639,0.3858509659767151,chessboard,chessboard_k=7,rocky_beach_large.png
20.68357276916504,0.487018346786499,0.3180333375930786,chessboard,chessboard_k=7,lemon_blue_surface.png
13.992525100708008,0.21482320129871368,0.47189146280288696,chessboard,chessboard_k=3,woman_tending_garden.png
18.669145584106445,0.670666515827179,0.2870137691497803,chessboard,chessboard_k=3,view_mountains_lake.png
18.645883560180664,0.4986564815044403,0.3118002414703369,chessboard,chessboard_k=3,field_red_flowers.png
23.782419204711914,0.6555045247077942,0.260751873254776,chessboard,chessboard_k=3,bowl_fruit_wooden.png
20.41995620727539,0.5751400589942932,0.33043718338012695,chessboard,chessboard_k=3,blue_pink_toy.png
20.848913192749023,0.6958017349243164,0.23752336204051971,chessboard,chessboard_k=3,watch_wrist.png
21.61182403564453,0.8251311779022217,0.2262781262397766,chessboard,chessboard_k=3,row_rubber_ducks.png
18.13752555847168,0.3661893904209137,0.43641987442970276,chessboard,chessboard_k=3,pizza_box_pizza.png
17.123313903808594,0.23818862438201904,0.4058437645435333,chessboard,chessboard_k=3,rocky_beach_large.png
23.095474243164062,0.48288288712501526,0.31532031297683716,chessboard,chessboard_k=3,lemon_blue_surface.png
14.203434944152832,0.1864304095506668,0.5152100324630737,chessboard,chessboard_k=1,woman_tending_garden.png
19.259218215942383,0.6637106537818909,0.32153943181037903,chessboard,chessboard_k=1,view_mountains_lake.png
18.7311954498291,0.47976335883140564,0.3457868695259094,chessboard,chessboard_k=1,field_red_flowers.png
23.688735961914062,0.6140806078910828,0.3373717963695526,chessboard,chessboard_k=1,bowl_fruit_wooden.png
20.849210739135742,0.5765756368637085,0.3466082811355591,chessboard,chessboard_k=1,blue_pink_toy.png
21.905532836914062,0.700772762298584,0.2744068503379822,chessboard,chessboard_k=1,watch_wrist.png
22.279600143432617,0.8194098472595215,0.22453805804252625,chessboard,chessboard_k=1,row_rubber_ducks.png
18.504493713378906,0.353438138961792,0.45728248357772827,chessboard,chessboard_k=1,pizza_box_pizza.png
17.09181022644043,0.22261373698711395,0.4723040461540222,chessboard,chessboard_k=1,rocky_beach_large.png
